Проблема;Наименование мероприятий;Митигационный эффект;Адаптационный эффект;Наименование района;Агроклиматические условия района;Ответственная организация;Источник;;;;;;;;;;;;;;;;;;
высокий углеродный след, нехватка водных ресурсов и энергоёмкость здания;Экоцентр ARTUR в Великовой: реставрация заброшенной школы с использованием природных материалов, пассивных решений, корневой очистки воды и солнечного отопления для создания устойчивого образовательного и культурного центра;Снижение выбросов CO? и энергопотребления, использование возобновляемых источников;Повышение устойчивости к жаре и засухам, улучшение микроклимата, повторное использование воды;Город Хруби Шуров (Пардубицкий край, Чехия);"Среднегодовая температура — около 9 °C. Сезонные средние: зима ? –2 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — 160–170 дней. Годовое количество осадков — 600 мм, максимум в июне–июле. Средняя влажность — 75 %. Возможны засухи и ливни. Почвы — суглинистые, хорошо дренированные. Высота — около 330 м н.у.м. Климат — умеренно континентальный. Поблизости ручьи и небольшие реки; риск затоплений низкий.";Некоммерческая организация ARTUR, волонтёры;https://www.adapterraawards.cz/en/databaze/2020/ekocentrum-artur-restoration-af-a-school;;;;;;;;;;;;;;;;;;
высокое энергопотребление и перегрев помещений;Энерго-положительный дом Alfadome Zero: строительство быстровозводимого CLT-дома с фотоэлектрической крышей и пассивным охлаждением для достижения энергонезависимости и демонстрации инновационных строительных решений;Снижение углеродного следа благодаря энергоэффективности и солнечной энергии;Повышение комфорта при жаре, снижение энергозависимости, устойчивость к экстремальным температурам;Город Зноймо (Южноморавский край, Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? 0 °C, весна ? 10 °C, лето ? 20 °C, осень ? 11 °C. Безморозный период — 170–190 дней. Годовое количество осадков — 450–500 мм, максимум в июне–июле. Средняя влажность — 65–70 %. Характерны засухи и жаркие волны. Почвы — суглинисто-глинистые, среднеплодородные. Высота — ? 290 м н.у.м. Климат — умеренно континентальный, засушливый. Рядом река Дие; риск подтоплений низкий.";Компания Alfadome s.r.o.;https://www.adapterraawards.cz/en/databaze/2022/energeticky-plusovy-dum-alfadome-zero;;;;;;;;;;;;;;;;;;
ливневые наводнения, засуха и низкое биоразнообразие;Дождевые сады в Гданьске: внедрение зелёной инфраструктуры на 3500 м? для удержания 500 м? дождевой воды, снижения риска наводнений и засухи, повышения биоразнообразия и улучшения городского микроклимата;Снижение выбросов за счёт уменьшения нагрузки на инженерные сети и повышения эффективности использования воды;Снижение рисков затоплений, удержание осадков, смягчение городского теплового острова, повышение влагообеспеченности;Гданьск (Поморское воеводство, Польша);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –1 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — 160–170 дней. Годовое количество осадков — ? 600 мм, максимум в июле–августе. Средняя влажность — 75–80 %. Возможны ливни, штормовые ветра и засухи. Почвы — глинистые, местами песчаные. Высота — около 10 м н.у.м. Климат — морской умеренный. Рядом Балтийское море; возможен риск прибрежных подтоплений.";Муниципалитет Гданьска;https://www.adapterraawards.cz/en/databaze/2019/rain-gardens-in-gdansk;;;;;;;;;;;;;;;;;;
низкая водоудерживающая способность ландшафта и шум от дороги;Создание экологического парка Шкрловец в Угерском Броде: реконструкция заброшенной территории в зону отдыха с водоёмами, посадкой деревьев и инфильтрационными решениями для удержания воды, снижения шума и борьбы с тепловым островом;Снижение локальной температуры, поглощение CO?;Улучшение водоудерживающей способности участка, снижение шума и пыли, поддержка биоразнообразия;Угерский Брод, Чехия;Среднегодовая температура: 8–10?°C. Зима: ?2–2?°C, Весна: 5–12?°C, Лето: 16–22?°C, Осень: 5–12?°C. Количество безморозных дней: 180–200. Годовое количество осадков: 600–800 мм, максимум летом. Индексы засухи: умеренные, дефицит почвенной влаги возможен в засушливые годы. Экстремальные явления: кратковременные ливни, редкие морозы. Почвы: суглинки и лёгкие глины. Высота над уровнем моря: 350 м. Климатический пояс: умеренно-континентальный. Водоёмы: ручьи, пруды. Риск затопления: низкий.;Муниципалитет Угерского Брода;https://www.adapterraawards.cz/en/databaze/2020/environmentalni-park-skrlovec;;;;;;;;;;;;;;;;;;
наводнения из-за герметизации поверхностей и эрозия почвы;Устойчивая система поверхностного дренажа на поместье Beaufort: внедрение микроводоудерживающих элементов — дождевых садов, прудов и гидрофитных канав — для замедления стока, очистки воды и снижения нагрузки на канализацию;Сокращение эмиссий за счет уменьшения эрозии и повышения зелёных насаждений;Снижение риска наводнений, поддержка почвенной влажности и биоразнообразия;Beaufort, Ирландия;Среднегодовая температура: 9–11?°C. Зима: 3–7?°C, Весна: 6–12?°C, Лето: 14–20?°C, Осень: 10–14?°C. Количество безморозных дней: 150–170. Годовое количество осадков: 800–1200 мм, максимум осенью и зимой. Индексы засухи: низкий риск. Экстремальные явления: проливные дожди, сильный ветер. Почвы: торфяники, суглинки. Высота над уровнем моря: 50–100 м. Климатический пояс: морской умеренный. Водоёмы: малые реки и канавы. Риск затопления: умеренный.;Муниципалитет, частные собственники;https://www.adapterraawards.cz/en/databaze/2019/sustainable-drainage-system-beaufort;;;;;;;;;;;;;;;;;;
аномальная жара, ветер, засуха и нехватка водных ресурсов;Комплекс Domov Podhrad? в Тынце-над-Лабем: строительство дома для пожилых с зелёной крышей, пермакультурными садами и системой водопользования для обеспечения теплового комфорта и устойчивости к экстремальным погодным явлениям;Снижение выбросов CO?, использование возобновляемой энергии;Улучшение теплового комфорта, задержка дождевой воды, снижение риска наводнений, поддержка биоразнообразия;Тынец-над-Лабем, Чехия;Среднегодовая температура: 9–10?°C. Зима: ?1–2?°C, Весна: 5–12?°C, Лето: 16–22?°C, Осень: 5–12?°C. Количество безморозных дней: 180–200. Годовое количество осадков: 650–850 мм, максимум летом. Индексы засухи: умеренные, риск дефицита почвенной влаги летом. Экстремальные явления: ливни, жаркие периоды. Почвы: суглинки и торфяники. Высота над уровнем моря: 200–250 м. Климатический пояс: умеренно-континентальный. Водоёмы: река Эльба. Риск затопления: низкий, но возможен в пойме реки.;Некоммерческая организация, инвестор;https://www.adapterraawards.cz/en/databaze/2021/domov-podhradi;;;;;;;;;;;;;;;;;;
смешанная канализация, наводнения и высыхание водоёмов летом;Зелёно-голубой климатический коридор в Камене (Австрия): разделение сточных и дождевых вод, восстановление ручья и создание водно-болотных угодий для защиты от наводнений, поддержания водного баланса летом и повышения биоразнообразия;Снижение выбросов CO?, экологическая рекультивация;Снижение риска наводнений, восстановление микроклимата, улучшение состояния экосистемы;Камен, Австрия;Среднегодовая температура: 10–11?°C. Зима: 0–3?°C, Весна: 6–12?°C, Лето: 16–22?°C, Осень: 6–12?°C. Количество безморозных дней: 160–180. Годовое количество осадков: 700–900 мм, максимум весной и осенью. Индексы засухи: умеренные. Экстремальные явления: ливни, кратковременные засухи. Почвы: суглинки, песчаные отложения. Высота над уровнем моря: 350 м. Климатический пояс: умеренно-континентальный. Водоёмы: река Heerener-M?hlbach, восстановленные пруды. Риск затопления: умеренный в прибрежной зоне.;Муниципальные службы, частные владельцы;https://www.adapterraawards.cz/en/databaze/2020/green-blue-climate-corridor-kamen;;;;;;;;;;;;;;;;;;
засуха, зависимость от внешних ресурсов и перегрев здания;Центр парапланеризма Flight Park Javorov?: строительство деревянного здания с зелёной крышей, аквапоникой и системой сбора дождевой воды для автономного функционирования и адаптации к засухе и жаре;Снижение выбросов CO?, использование солнечной энергии;Поддержка водного баланса, создание локального микроклимата, тепловой комфорт;Яворовы, Чехия;Среднегодовая температура: 8–9?°C. Зима: ?2–2?°C, Весна: 4–10?°C, Лето: 15–20?°C, Осень: 6–12?°C. Количество безморозных дней: 170–190. Годовое количество осадков: 700–900 мм, максимум летом. Индексы засухи: умеренные, риск дефицита почвенной влаги летом. Экстремальные явления: ливни, сильный ветер. Почвы: суглинки и каменистые почвы. Высота над уровнем моря: 450 м. Климатический пояс: умеренно-континентальный. Водоёмы: ручей, небольшой водоём на крыше. Риск затопления: низкий.;Частный инвестор;https://www.adapterraawards.cz/en/databaze/2022/flight-park-javorovy;;;;;;;;;;;;;;;;;;
нехватка экологического образования и высокое энергопотребление;Экоцентр «На Пасеке» в Великовой: создание образовательного центра из соломенных тюков с биосолнечной крышей, газифицирующей печью и сбором дождевой воды для популяризации природного строительства и устойчивого образа жизни;Снижение выбросов CO? за счёт использования местных природных материалов, возобновляемой энергии и низкого энергопотребления;Устойчивость к волнам жары, удержание дождевой воды, повышение биоразнообразия, создание комфортного микроклимата;Великова (Злинский край, Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –3 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–180 дней. Годовое количество осадков ? 600 мм, максимум летом. Средняя влажность — 75–80 %. Учащаются засухи и волны жары. Возможны ливневые дожди. Почвы — суглинистые, с хорошим содержанием гумуса. Высота над уровнем моря — около 250 м. Климат — умеренно континентальный. Рядом — небольшие ручьи; риск затопления низкий.";Частная инициатива (Томаш Черны), местные ремесленники;https://www.adapterraawards.cz/en/databaze/2021/ekocentrum-na-pasece-velikova;;;;;;;;;;;;;;;;;;
городской остров тепла, нехватка воды и высокое энергопотребление;Дом с болотной крышей и корневой очисткой в Праге-Летна: строительство пассивного дома с водно-болотной крышей, грунтовым теплообменником и замкнутым водным циклом для снижения температуры, экономии воды и поддержки биоразнообразия;Снижение потребления питьевой воды на 40%, снижение энергопотребления за счёт пассивного стандарта и солнечной энергии;Охлаждение микроклимата (крыша ?24 °C вместо 80 °C), удержание дождевой воды, создание среды обитания для насекомых, адаптация к засухе и жаре;Прага – Летна (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Влтава; возможны локальные подтопления при паводках.";Частные владельцы, при поддержке Программы зелёной экономики;https://www.adapterraawards.cz/en/databaze/2019/dum-s-mokradni-strechou-korenovou-cistirnou;;;;;;;;;;;;;;;;;;
аномальная жара, перегрузка канализации и нехватка зелени;Общественный центр «Всични сполу» в Остраве-Порубе: создание комфортного общественного пространства с частично зелёными крышами, водопроницаемыми покрытиями и сенсорным садом для снижения перегрева и адаптации к жаре и засухе;Снижение энергопотребления за счёт теплового насоса и пассивных решений;Снижение эффекта городского теплового острова, удержание дождевой воды, создание тенистого общественного пространства, устойчивость к засухе и ливням;Острава – Поруба (Моравскосилезский край, Чехия);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –4 °C, весна ? 8 °C, лето ? 18 °C, осень ? 9 °C. Безморозный период — около 150–170 дней. Годовое количество осадков ? 650 мм, равномерно распределено. Средняя влажность — 75–80 %. Возможны как засухи, так и интенсивные дожди. Экстремальные явления: волны холода, сильные снегопады, ливни. Почвы — глинистые, слабо дренированные. Высота над уровнем моря — около 260 м. Климат — умеренный континентальный с выраженной зимней суровостью. Рядом — ручей Пустковец; умеренный риск подтопления.";Городской округ Поруба, город Острава;https://www.adapterraawards.cz/en/databaze/2019/komunitni-centrum-vsichni-spolu;;;;;;;;;;;;;;;;;;
ливневые паводки, засуха и низкая водоудерживающая способность территории;Жилой комплекс SUOMI Hloub?t?n в Праге: восстановление реки Рокитка и внедрение системы LID с инфильтрационными лугами и центральным озером для замедления стока дождевой воды и защиты от наводнений и засухи;Снижение стока дождевой воды в канализацию, косвенное снижение энергопотребления на водоснабжение;Комплексная защита от засух и наводнений, охлаждение территории, повышение биоразнообразия, создание рекреационного пространства;Прага – Глубетин (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Рокитка; возможны локальные подтопления при паводках.";YIT Stavo s.r.o. (инвестор);https://www.adapterraawards.cz/en/databaze/2020/hospodareni-s-destovkou-suomi-hloubetin;;;;;;;;;;;;;;;;;;
